Bundesland;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Mecklenburg-Vorpommern;7377;9236;11232;13163;14497;15119;15441;15618;16167;16455;16876;17206;17506;17944;18204;18859;20122;20905;20891;21587;22512;22892;23807;24786;25232;25722;27160;27905
Sachsen-Anhalt;7142;9055;11228;13029;13971;14679;15154;15491;15870;16232;16704;17543;17877;18436;18689;19744;20935;21519;20793;22241;22755;23906;24502;25224;25929;26674;27651;28685
Brandenburg;7643;9572;11710;13561;14940;15638;15877;16163;16821;17315;17788;18105;18312;18868;19239;20165;21148;22025;21643;22720;23498;24065;24815;26148;26756;27526;28473;29411
ThÅringen;6534;8838;10944;12869;13708;14326;14877;15371;15995;16385;16953;17380;17872;18426;18629;19575;20696;21135;20482;21883;23291;23719;24802;26275;27009;27787;28855;29739
Sachsen;7729;9714;11892;13904;15400;16069;16158;16516;17006;17157;17881;18731;19270;19931;20044;21157;22314;22738;22217;23309;24509;25053;25745;27012;28040;29012;29960;31008
Schleswig-Holstein;19203;20159;20507;21099;21795;22023;22398;22600;22771;23203;23803;23433;23645;24122;24260;24989;25646;26508;25789;26394;27344;28469;28984;29835;30322;31121;32404;33555
Saarland;19795;20484;20172;21143;22080;21562;22063;22578;23084;23925;24525;24604;24911;26112;27573;28901;30532;31116;28352;30151;32037;32404;32217;33800;34612;34737;35710;36243
Rheinland-Pfalz;19988;20618;20422;21036;21740;21636;22201;22381;22928;23368;23409;23860;23965;24712;24872;25847;27083;27638;27011;28593;29961;30757;31376;32578;33971;34502;35316;36573
Niedersachsen;19298;20266;20523;21230;21347;21367;21712;22385;22808;23439;23785;23581;23652;24256;24816;25965;27160;27982;26876;28619;30333;31056;31545;32805;32913;35151;36178;37118
Nordrhein-Westfalen;21791;22784;22841;23477;24258;24271;24821;25470;25725;26259;26846;27293;27305;28073;28497;29505;31412;32335;31227;32230;33558;33980;34665;35809;36559;37151;38276;39358
Berlin;19744;21687;23287;24141;24965;24862;24728;25094;25497;25869;26194;26264;26083;26152;26761;27735;29030;30407;30362;31547;32749;32803;33133;34223;35837;37662;38864;40568
Deutschland;19754;21060;21601;22555;23354;23646;24133;24780;25360;25983;26741;27082;27224;27875;28288;29483;31030;31719;30569;32137;33673;34296;35045;36287;37324;38370;39650;40851
Baden-WÅrttemberg;24413;25365;24964;25772;26646;27042;27526;28325;29194;29882;31082;31139;31321;31650;31963;33934;35870;36310;33886;36727;38679;39247;40024;41280;42943;43590;45064;46279
Hessen;25892;26983;27226;27874;28613;29255;29843;30460;31645;32349;33486;33630;34487;34954;35238;36442;37956;38538;36748;38057;39384;39636;40430;41785;42654;44085;45107;46719
Bayern;22760;24163;24398;25182;25828;26178;26772;27861;28650;29614;30552;31119;30749;31694;32164;33413;35032;35286;34494;36386;38706;39580;40526;41937;43365;44875;46698;47946
Bremen;27467;28241;28237;29356;30104;30268;31377;31987;32372;34022;35347;36337;37206;37590;38236;40032;41597;42254;38517;40966;42442;44181;44456;45583;46647;47051;48586;50389
Hamburg;36862;37891;39087;40204;41285;42316;43998;45318;45832;46712;49115;49892;50087;51204;52313;52868;54466;55929;53990;55578;56002;56781;58744;59760;62160;62078;63927;65603
